topo,kappa,eta,n_cells,naive_flag,het_gate_kill,cell_inversion,phantoms_rejected,config_certified,in_box
artic,0.25,1,336,108,108,0,108,0,0
artic,0.25,2,336,106,106,0,106,0,0
artic,0.25,5,336,103,103,0,103,0,0
artic,0.25,8,336,96,96,0,96,0,0
artic,0.25,16,336,76,76,0,76,0,0
artic,0.5,1,336,105,105,0,105,0,0
artic,0.5,2,336,104,104,0,104,0,0
artic,0.5,5,336,96,96,0,96,0,0
artic,0.5,8,336,87,87,0,87,0,0
artic,0.5,16,336,74,74,0,74,0,0
artic,1,1,336,90,90,0,90,0,0
artic,1,2,336,86,86,0,86,0,0
artic,1,5,336,80,80,0,80,0,0
artic,1,8,336,73,73,0,73,0,0
artic,1,16,336,57,57,0,57,0,0
bridge,0.25,1,336,47,47,0,47,0,0
bridge,0.25,2,336,40,40,0,40,0,1
bridge,0.25,5,336,16,16,0,16,0,1
bridge,0.25,8,336,0,0,0,0,0,1
bridge,0.25,16,336,0,0,0,0,0,0
bridge,0.5,1,336,6,6,0,6,0,0
bridge,0.5,2,336,5,5,0,5,0,1
bridge,0.5,5,336,0,0,0,0,0,1
bridge,0.5,8,336,0,0,0,0,0,1
bridge,0.5,16,336,0,0,0,0,0,0
bridge,1,1,336,0,0,0,0,0,0
bridge,1,2,336,0,0,0,0,0,1
bridge,1,5,336,0,0,0,0,0,1
bridge,1,8,336,0,0,0,0,0,1
bridge,1,16,336,0,0,0,0,0,0
sbm,0.25,1,336,62,62,0,62,0,0
sbm,0.25,2,336,50,49,1,49,0,1
sbm,0.25,5,336,27,25,2,25,0,1
sbm,0.25,8,336,16,16,0,16,0,1
sbm,0.25,16,336,6,4,2,4,0,0
sbm,0.5,1,336,5,5,0,5,0,0
sbm,0.5,2,336,4,3,1,3,0,1
sbm,0.5,5,336,3,1,2,1,0,1
sbm,0.5,8,336,1,1,0,1,0,1
sbm,0.5,16,336,2,2,0,2,0,0
sbm,1,1,336,1,1,0,1,0,0
sbm,1,2,336,1,1,0,1,0,1
sbm,1,5,336,1,1,0,1,0,1
sbm,1,8,336,1,1,0,1,0,1
sbm,1,16,336,1,1,0,1,0,0
